Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,183.979996,184.070007,182.479996,182.919998,164.137863,119636900
2014-01-03,183.229996,183.600006,182.630005,182.889999,164.110901,81390600
2014-01-06,183.490005,183.559998,182.080002,182.360001,163.635361,108028200
2014-01-07,183.089996,183.789993,182.949997,183.479996,164.640350,86144200
2014-01-08,183.449997,183.830002,182.889999,183.520004,164.676239,96582300
2014-01-09,184.110001,184.130005,182.800003,183.639999,164.783920,90683400
2014-01-10,183.949997,184.220001,183.009995,184.139999,165.232574,102026400
2014-01-13,183.669998,184.179993,181.339996,181.690002,163.034195,149892000
2014-01-14,182.289993,183.770004,181.949997,183.669998,164.810867,105016100
2014-01-15,184.100006,184.940002,183.710007,184.660004,165.699188,98525800
2014-01-16,184.279999,184.660004,183.830002,184.419998,165.483856,72290600
2014-01-17,184.100006,184.449997,183.320007,183.639999,164.783920,107848700
2014-01-21,184.699997,184.770004,183.050003,184.179993,165.268478,88621200
2014-01-22,184.490005,184.570007,183.910004,184.300003,165.376221,61270900
2014-01-23,183.369995,183.399994,181.820007,182.789993,164.021240,132496900
2014-01-24,181.600006,181.660004,178.830002,178.889999,160.521667,208677100
2014-01-27,179.059998,179.520004,177.119995,178.009995,159.732010,180843100
2014-01-28,178.139999,179.300003,178.119995,179.070007,160.683167,110463200
2014-01-29,177.580002,178.550003,176.880005,177.350006,159.139801,216597300
2014-01-30,178.830002,179.809998,178.259995,179.229996,160.826736,118938100
2014-01-31,177.009995,179.289993,176.919998,178.179993,159.884537,194677900
2014-02-03,177.970001,178.369995,173.830002,174.169998,156.286331,254837100
2014-02-04,174.949997,175.839996,174.110001,175.389999,157.381027,165012400
2014-02-05,174.779999,175.559998,173.710007,175.169998,157.183624,164230500
2014-02-06,175.580002,177.479996,175.220001,177.479996,159.256439,132877600
2014-02-07,178.309998,179.869995,177.729996,179.679993,161.230560,170787200
2014-02-10,179.699997,180.070007,179.210007,180.009995,161.526672,92218800
2014-02-11,180.160004,182.440002,180.039993,181.979996,163.294373,117814100
2014-02-12,182.250000,182.830002,181.710007,182.070007,163.375168,94717700
2014-02-13,180.839996,183.199997,180.830002,183.009995,164.218597,100542200
2014-02-14,182.839996,184.360001,182.669998,184.020004,165.124924,96498400
2014-02-18,184.179993,184.490005,183.649994,184.240005,165.322311,80460900
2014-02-19,183.759995,184.949997,182.869995,183.020004,164.227600,126524300
2014-02-20,183.270004,184.520004,182.600006,184.100006,165.196701,104998100
2014-02-21,184.449997,184.889999,183.800003,183.889999,165.008240,118116400
2014-02-24,184.279999,186.149994,184.199997,184.910004,165.923584,114063900
2014-02-25,185.059998,185.589996,184.229996,184.839996,165.860733,117085000
2014-02-26,185.110001,185.600006,184.330002,184.850006,165.869690,98677200
2014-02-27,184.580002,185.869995,184.369995,185.820007,166.740112,93880800
2014-02-28,185.789993,187.149994,185.050003,186.289993,167.161835,150842000
2014-03-03,184.649994,185.449997,183.750000,184.979996,165.986282,167748500
2014-03-04,186.789993,187.979996,186.750000,187.580002,168.319366,167545900
2014-03-05,187.740005,188.070007,187.449997,187.750000,168.471909,88376900
2014-03-06,188.210007,188.610001,187.779999,188.179993,168.857727,82516500
2014-03-07,188.960007,188.960007,187.429993,188.259995,168.929565,114513500
2014-03-10,187.970001,188.229996,187.080002,188.160004,168.839798,74939200
2014-03-11,188.440002,188.710007,186.800003,187.229996,168.005295,99009100
