Date,Value
2019-08-31,149.363005
2019-07-31,163.87675333333
2019-06-30,174.69776316667
2019-05-31,158.281695
2019-04-30,159.03008873016
2019-03-31,164.5066447619
2019-02-28,177.91670175439
2019-01-31,188.84494968254
2018-12-31,188.5358362963
2018-11-30,181.55239087719
2018-10-31,188.46160666667
2018-09-30,191.14442175439
2018-08-31,211.29205884058
2018-07-31,196.80607746032
2018-06-30,193.07921984127
2018-05-31,192.70383
2018-04-30,180.37640936508
2018-03-31,180.91881587302
2018-02-28,172.28911912281
2018-01-31,156.38804412698
2017-12-31,147.1032695
2017-11-30,138.04595566667
2017-10-31,133.34451603175
2017-09-30,138.41339233333
2017-08-31,139.05081507246
2017-07-31,174.53241666667
2017-06-30,157.24619166667
2017-05-31,146.44021333333
2017-04-30,138.40759070175
2017-03-31,146.43149942029
2017-02-28,147.36144210526
2017-01-31,137.14573583333
2016-12-31,122.84632555556
2016-11-30,122.5497977193
2016-10-31,122.55850016667
2016-09-30,123.24875619048
2016-08-31,127.89991101449
2016-07-31,133.710203
2016-06-30,156.69503666667
2016-05-31,157.56034206349
2016-04-30,163.38683777778
2016-03-31,164.06047166667
2016-02-29,159.283795
2016-01-31,164.61162666667
2015-12-31,163.893455
2015-11-30,157.80437894737
2015-10-31,165.45148190476
2015-09-30,164.06922015873
2015-08-31,173.5175915873
2015-07-31,199.21748
2015-06-30,199.83544166667
2015-05-31,193.21657116667
2015-04-30,195.93122825397
2015-03-31,202.69142666667
2015-02-28,201.74206877193
2015-01-31,213.0214075
2014-12-31,234.85883666667
2014-11-30,215.98791823529
2014-10-31,210.72492833333
2014-09-30,211.17110142857
2014-08-31,229.15800111111
2014-07-31,238.549905
2014-06-30,261.64990063492
2014-05-31,287.91287380952
2014-04-30,276.38236126984
2014-03-31,275.61249396825
2014-02-28,242.79828157895
2014-01-31,229.98035936508
2013-12-31,246.11257873016
2013-11-30,259.77772333333
2013-10-31,278.14955666667
2013-09-30,257.499616
2013-08-31,258.92593833333
2013-07-31,257.47289333333
2013-06-30,266.85087916667
2013-05-31,276.04514666667
2013-04-30,264.17026166667
2013-03-31,263.341859
2013-02-28,271.6785887037
2013-01-31,288.21032253968
2012-12-31,303.03855614035
2012-11-30,319.45993619048
2012-10-31,318.40783492754
2012-09-30,316.65305157895
2012-08-31,315.54821913043
2012-07-31,310.74643809524
2012-06-30,241.96579349206
2012-05-31,228.87964
2012-04-30,228.08631083333
2012-03-31,243.49359833333
2012-02-29,245.9804765
2012-01-31,243.70236916667
2011-12-31,236.0596865
2011-11-30,244.53785015873
2011-10-31,251.5891347619
2011-09-30,272.34055793651
2011-08-31,288.68830833333
2011-07-31,271.46220933333
2011-06-30,285.29787
2011-05-31,307.19455031746
2011-04-30,307.25440842105
2011-03-31,285.37581111111
2011-02-28,317.60065140351
2011-01-31,295.98860683333
2010-12-31,274.45681816667
2010-11-30,241.84013333333
2010-10-31,234.5995631746
2010-09-30,240.43218283333
2010-08-31,219.87744166667
2010-07-31,182.73850222222
2010-06-30,149.21269
2010-05-31,158.32845966667
2010-04-30,156.82546873016
2010-03-31,156.46411797101
2010-02-28,160.16156037037
2010-01-31,167.82186280702
2009-12-31,171.15549873016
2009-11-30,177.60728140351
2009-10-31,163.72643833333
2009-09-30,156.93045063492
2009-08-31,179.55405111111
2009-07-31,195.32599166667
2009-06-30,227.31469383333
2009-05-31,227.186091
2009-04-30,200.88764666667
2009-03-31,199.10056833333
2009-02-28,195.22490263158
2009-01-31,211.27608333333
2008-12-31,188.84494968254
2008-11-30,194.11462960784
2008-10-31,202.774935
2008-09-30,263.04965936508
2008-08-31,304.16407266667
2008-07-31,299.42748
2008-06-30,314.15835
2008-05-31,288.42028634921
2008-04-30,326.85161666667
2008-03-31,403.81289666667
2008-02-29,393.87373483333
2008-01-31,336.11706507936
2007-12-31,339.22569592593
2007-11-30,286.49561809524
2007-10-31,303.63049072464
2007-09-30,297.95245912281
2007-08-31,240.68699217391
2007-07-31,222.00173460317
2007-06-30,206.51690365079
2007-05-31,178.00636333333
2007-04-30,178.55584816667
2007-03-31,173.313195
2007-02-28,175.26729
2007-01-31,172.5666305
2006-12-31,179.52955533333
2006-11-30,182.30107761905
2006-10-31,182.432305
2006-09-30,164.94231966667
2006-08-31,165.12937833333
2006-07-31,181.34836683333
2006-06-30,176.920755
2006-05-31,176.60342333333
2006-04-30,161.20800280702
2006-03-31,155.79314666667
2006-02-28,158.88735017544
2006-01-31,144.5679565
2005-12-31,139.99337
2005-11-30,136.35399730159
2005-10-31,143.07283920635
2005-09-30,137.38631936508
2005-08-31,131.55830217391
2005-07-31,130.16443916667
2005-06-30,122.47332166667
2005-05-31,119.15446190476
2005-04-30,120.06430507937
2005-03-31,129.95566833333
2005-02-28,123.12996087719
2005-01-31,122.77896216667
2004-12-31,123.55457304348
2004-11-30,127.13308666667
2004-10-31,123.05628936508
2004-09-30,126.8207655
2004-08-31,122.05578
2004-07-31,132.387431
2004-06-30,136.86140984127
2004-05-31,143.18426736842
2004-04-30,146.06482349206
2004-03-31,142.548725
2004-02-29,141.73385947368
2004-01-31,147.28961238095
2003-12-31,145.06749539683
2003-11-30,141.34708403509
2003-10-31,130.05660449275
2003-09-30,130.64998047619
2003-08-31,133.48449190476
2003-07-31,115.77595333333
2003-06-30,118.15713380952
2003-05-31,131.05241111111
2003-04-30,126.04827365079
2003-03-31,129.2458475
2003-02-28,141.65650438596
2003-01-31,140.48328555556
2002-12-31,149.19598833333
2002-11-30,164.27918396825
2002-10-31,180.04396666667
